"Nearest Building","X","Y","Latitude","Longitude","Site ID","Species","DBH","Multi-stem","Arbor Day / Tree Campus USA","Donor","Donor Tree","State Champion Tree","Tree Trail"
"Activities & Recreation Center",1010595.57189363,1250349.35197584,40.0999945903,-88.2391568932,7067,"linden, littleleaf (Tilia cordata)",18,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010541.52544464,1250370.22177142,40.1000520371,-88.2393500118,7071,"linden, littleleaf (Tilia cordata)",21,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010717.1424782,1250286.65366951,40.0998221222,-88.2387225588,7076,"maple, sugar (Acer saccharum)",18,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010795.46966793,1250326.65114271,40.0999316908,-88.2384424143,7084,"maple, sugar (Acer saccharum)",21,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010590.03196805,1250384.72262537,40.1000917028,-88.2391765627,7085,"maple, silver (Acer saccharinum)",26,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010590.4499138,1250462.45157173,40.1003050763,-88.2391747746,7091,"oak, swamp white (Quercus bicolor)",11,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010794.71823928,1250366.21109649,40.1000402895,-88.2384449496,7092,"maple, sugar (Acer saccharum)",5,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010567.47390503,1250430.04041388,40.1002161707,-88.2392570288,7095,"oak, white (Quercus alba)",14,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011298.49930144,1250460.66691779,40.1002980921,-88.2366437381,7110,"oak, swamp white (Quercus bicolor)",5,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011298.18715873,1250482.76486045,40.1003587543,-88.2366447681,7118,"oak, swamp white (Quercus bicolor)",3,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011314.04072968,1250476.46830531,40.1003414222,-88.2365881212,7125,"oak, swamp white (Quercus bicolor)",3,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011338.22767488,1250490.55715556,40.1003800255,-88.236501606,7132,"maple, hedge (Acer campestre)",12,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011643.07125512,1250481.13319752,40.1003532396,-88.2354119265,7138,"oak, swamp white (Quercus bicolor)",6,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011650.25376193,1250499.79548631,40.1004044479,-88.235386178,7146,"oak, northern red (Quercus rubra)",5,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011173.82583886,1250787.17291337,40.1011947587,-88.2370881418,7156,"redcedar, eastern (Juniperus virginiana)",4,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011183.81716021,1250729.60964067,40.1010367114,-88.2370526484,7167,"maple, Freeman (Acer x freemanii)",6,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011184.54549314,1250711.94964011,40.1009882306,-88.2370501131,7179,"Stump, (Stump)",2,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011208.66306615,1250708.09038255,40.1009775648,-88.2369639148,7185,"Stump, (Stump)",4,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011218.23328044,1250711.98612815,40.1009882306,-88.236929689,7195,"Stump, (Stump)",4,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011228.8757417,1250708.11228949,40.1009775648,-88.2368916604,7203,"Stump, (Stump)",3,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011212.89157447,1250732.82007983,40.101045438,-88.2369487034,7210,"maple, Freeman (Acer x freemanii)",8,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011233.44313363,1250747.32419364,40.1010851922,-88.2368751813,7220,"maple, Freeman (Acer x freemanii)",9,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011239.10000123,1250762.87180179,40.1011278553,-88.2368548993,7230,"redbud, eastern (Cercis canadensis)",4,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011240.50502184,1250775.23585434,40.1011617918,-88.2368498289,7237,"redbud, eastern (Cercis canadensis)",4,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011853.28429129,1250821.99297103,40.1012883,-88.234659132,7238,"maple, sugar (Acer saccharum)",10,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011240.13738811,1250787.24476318,40.1011947587,-88.2368510965,7247,"redbud, eastern (Cercis canadensis)",4,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011785.73296387,1250820.80328742,40.1012852396,-88.2349006139,7251,"oak, northern red (Quercus rubra)",8,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011232.67837989,1250798.53954609,40.1012257864,-88.2368777165,7259,"redbud, eastern (Cercis canadensis)",4,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011759.50058421,1250833.11469711,40.1013191155,-88.2349943387,7261,"oak, northern red (Quercus rubra)",4,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011730.69165269,1250830.49998443,40.1013120252,-88.235097333,7269,"oak, northern red (Quercus rubra)",6,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011167.40431729,1250822.84065049,40.1012926897,-88.237110959,7271,"oak, swamp white (Quercus bicolor)",4,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011773.35690127,1250809.0231418,40.1012529394,-88.2349449015,7278,"Stump, (Stump)",3,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011196.48130223,1250823.57855074,40.1012946289,-88.237007014,7280,"oak, scarlet (Quercus coccinea)",4,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011732.44571309,1250807.54298853,40.1012490003,-88.2350911534,7288,"Stump, (Stump)",3,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011227.6870745,1250823.2591499,40.1012936593,-88.2368954633,7293,"oak, northern red (Quercus rubra)",6,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011244.37504804,1250803.49723771,40.101239361,-88.236835885,7305,"redcedar, eastern (Juniperus virginiana)",3,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011771.97282383,1250855.99770449,40.101381894,-88.2349496635,7315,"oak, northern red (Quercus rubra)",6,"No"," ",,"N/A"," ","N/A"
